"Api Key","Api Key"
"The module Convead Tracker is successfully installed! Go to the module %1, and enter the API key from your account Convead. The key can be obtained on the Settings page of your Convead account, when choosing Magento as your shop’s CMS.","The module Convead Tracker is successfully installed! Go to the module %1, and enter the API key from your account Convead. The key can be obtained on the Settings page of your Convead account, when choosing Magento as your shop’s CMS."
"settings","settings"
