"Api Key","API-ключ"
"The module Convead Tracker is successfully installed! Go to the module %1, and enter the API key from your account Convead. The key can be obtained on the Settings page of your Convead account, when choosing Magento as your shop’s CMS.","Модуль Convead Tracker успешно установлен! Перейдите на страницу %1 модуля и введите API-ключ от вашего аккаунта Convead. Ключ можно получить на странице Настройки аккаунта Convead, указав, что ваш сайт использует Magento."
"settings","настройки"
